VOUCHERID,VOUCHERCODE,VENDOR,VALIDFROM,VALIDTO,PRESENTATIONS,VOUCHERTYPE,CATEGORYCODE,CREDITTIMEMINUTES,RETURNEDFEE,TARIFFCODE
4126,4NUE6ZUJE940Y,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4127,JYZR2YWLQWZKC,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
4123,28NGWZAF9ON7T,St Barts,2026-09-16T00:00:00,2026-09-20T00:00:00,1,Category,3,,,
4128,3ICF0AKKR2RGJ,St Barts,2026-09-16T00:00:00,2026-09-17T00:00:00,1,Category,3,,,
4047,01F7S3ZML578R,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
4049,01VUTR60TIWNT,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3816,02E4AH8AI8HLD,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3966,02ETRA14MYE51,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3828,046701J2F2EVS,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3995,0E9EV0OYSYRSC,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3788,0G450P529NDD1,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4079,0KPMGXK7M854B,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3792,0PM6OBN2TG9Y0,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
4086,0QBF1OJ3VWFHG,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3890,0TVVMMDNXDBRV,St Barts,2026-09-16T00:00:00,2026-09-22T00:00:00,1,Category,2,,,
3976,0UT1IVBR54O32,St Barts,2026-09-18T00:00:00,2026-09-24T00:00:00,1,Category,2,,,
3741,0WTV2U96Q6KAD,St Barts,2026-09-11T00:00:00,2026-09-17T00:00:00,1,Category,2,,,
3986,0YBHK8JXH397P,St Barts,2026-09-19T00:00:00,2026-09-25T00:00:00,1,Category,2,,,
3877,13JYHK2PBNKA0,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
3863,1412Q6KHKVXQC,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
4088,14ISUVMUUIBBU,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3843,16D7Y9EQEHJ66,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
3833,1BTUK46QB19UZ,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4051,1DDPF7UOC710L,St Barts,2026-09-21T00:00:00,2026-09-27T00:00:00,1,Category,2,,,
3862,1DV9S7KMPA634,St Barts,2026-09-15T00:00:00,2026-09-21T00:00:00,1,Category,2,,,
4094,1DZYGMX65M86F,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3812,1E4HSOHMUO3P4,St Barts,2026-09-13T00:00:00,2026-09-19T00:00:00,1,Category,2,,,
3778,1GWTDNKLCMR6L,St Barts,2026-09-12T00:00:00,2026-09-18T00:00:00,1,Category,2,,,
3834,1K3LSX9NDV6LA,St Barts,2026-09-14T00:00:00,2026-09-20T00:00:00,1,Category,2,,,
4097,1L9EROO0TLGWV,St Barts,2026-09-22T00:00:00,2026-09-28T00:00:00,1,Category,2,,,
3923,1R2QD5A6Y610G,St Barts,2026-09-17T00:00:00,2026-09-23T00:00:00,1,Category,2,,,
